n_pares_minmax,n_pares_tau_minmax,persistencia_total_minmax,vida_maxima_minmax,entropia_minmax,n_pares_zscore,n_pares_tau_zscore,persistencia_total_zscore,vida_maxima_zscore,entropia_zscore,n_pares_robust,n_pares_tau_robust,persistencia_total_robust,vida_maxima_robust,entropia_robust,sample
5,4,2.9598397737612423,1.6736628338748334,1.0907571235725881,5,3,7.398390698253753,4.757602678889167,0.7313315930658617,4,2,6.334170225273306,3.873545782521872,0.7088619219869531,1465
5,4,4.11893409083261,2.025146452711647,1.125697926931629,4,3,7.9300814124898436,3.507841933163868,1.037606351357934,4,3,5.352000593235586,3.8446876844521487,0.6892833091683506,798
6,4,2.7654019061111743,1.5568511688612672,1.196971808113024,4,2,3.3775131006087635,3.124951751240416,0.2788236937774402,5,2,4.663456634749831,4.443181283656353,0.19672394828580375,270
6,5,4.322550985656942,1.8176904410659342,1.3501160388151092,6,5,13.310907771421268,5.116381657726594,1.4134050006303283,6,5,11.080246260063191,4.840933752256557,1.2359585249848088,887
5,3,3.132994908287493,1.874003790028112,0.8836756023278032,4,3,8.280073659270561,4.543220886505318,0.7668586283553857,4,3,6.948956122111281,3.522540461483982,0.8926241748131782,590
5,4,4.578086563549383,1.9841299090344844,1.2963386696722077,5,4,14.822660149005547,5.225720343355637,1.2950452306855322,5,4,13.459500902080482,4.638703913092846,1.3336443181479192,829
6,5,3.849089556653899,2.1622618606521,1.227524299670131,6,3,7.141079432502634,3.946603297610627,1.0161581513885374,5,4,8.140420136883273,3.4965323629379106,1.177124755170047,838
5,4,4.661874516227353,2.2099525860198375,1.2432905458985986,4,3,11.944432763008663,5.719833528494059,1.0411202553606393,5,4,9.145616944040636,3.3932614719202503,1.151645547246508,1461
6,5,3.8900027541257582,1.867917828682807,1.252587813815425,6,4,11.969316107443866,5.025716794998394,1.1463727277694125,5,4,9.358949322156208,4.697746110711035,1.0797210896983045,420
6,5,2.859042087080513,1.4031951291119356,1.307390046633382,4,3,18.411790107044432,10.663311696433784,0.8561344335663532,3,2,21.58691866862622,19.58866963888616,0.30843838089978187,649
5,4,5.743870649236953,2.3600604984785,1.298890809885819,5,4,18.529223193109786,6.364198512465867,1.312305901895363,5,4,14.651971831345065,6.517715111390416,1.202415228878369,1488
5,3,4.591227755611733,2.131934863757034,1.0648859889153246,4,3,13.111705044304149,6.486497718818695,0.9979082812747669,4,3,9.89309609228356,4.747280656741088,0.9992458725439842,560
5,3,2.616262006589172,1.458502659501848,0.8667705524413957,5,4,12.561765562378133,4.620835631038869,1.1795653243572533,4,3,9.786633937643707,4.079019728641875,1.0828673877890638,49
4,3,2.8418623575606903,1.3949779608851274,0.9884311966287084,5,4,8.046679706508217,3.7322930248745494,1.0400074548228333,5,4,4.867029788759403,2.2502592065824376,1.1579617549780474,1113
5,3,2.285117640017309,1.4891219400379265,0.8384474968880318,5,3,6.021469833908269,3.65088468492838,0.9757444784793945,4,3,5.438960820548296,3.292879436820775,0.9422611455076068,1310
5,4,2.365343523272071,1.510379935896148,0.9860395080726578,5,4,5.151108281257333,2.684465633716271,1.1179159674053174,4,3,5.197554152608747,2.8023243843724854,0.8176731735055112,1532
5,4,3.748350496613548,1.5606980185427362,1.1839703649029065,3,2,7.848339165395705,4.219063361179189,0.690320900570002,3,2,14.35955737451317,8.5147199124585,0.6757610743846658,1334
5,4,3.037718658721544,1.6701226735455417,1.1176048798897014,5,4,4.844036010358099,3.4135956721523146,0.9268610296089069,5,3,2.6306288016391974,2.2219981508789006,0.556904392105698,162
