tipo_ruido,magnitud,dB,dW,norma_inf,n_pares,n_pares_tau,persistencia_total,vida_maxima,entropia,sample
acotado,0.2,0.32427402091044866,0.685279517586582,0.5944413764730325,4,2,6.406293495395513,4.104115838994024,0.6926559540605781,30
acotado,0.5,0.8944253384074532,1.7266628870152818,1.1049380118688599,6,4,4.586523361925153,2.9578160897586896,0.9530168894699427,30
gaussiano,0.01,0.03945746653090121,0.08011479477905054,0.04158531716941383,5,4,5.548447446847209,2.1267850354925977,1.2675716794827823,942
gaussiano,0.05,0.2489389104065759,0.538326317289217,0.28083885071004366,5,4,5.455361238334573,2.0112704699298023,1.2724671685439324,942
gaussiano,0.1,0.48270241288003435,1.230568557656002,0.6440871974958002,5,3,3.374407762613758,1.7407175236656698,0.9266880956952239,942
gaussiano,0.2,0.8025206339312811,1.9678741656439744,1.5702815992349324,5,4,6.214474407494741,2.9945785250616357,1.2528731218640188,942
gaussiano,0.5,0.5657814093603029,2.011027844408821,3.2600361900339916,5,4,5.331543064007835,2.407659638263463,1.1171694398908558,942
acotado,0.01,0.023558465762718694,0.05921325586417592,0.023861924579867022,5,4,5.4960856656427595,2.109655128950345,1.2723714416423897,942
acotado,0.05,0.07982493824721026,0.15875509923102316,0.11088537196924014,5,4,5.610194207345591,2.1227543099193746,1.2634201091404194,942
acotado,0.1,0.36124443443520415,0.8633717884459124,0.36969534724837216,5,4,5.671652343406849,2.3939033768424287,1.2911910255715557,942
acotado,0.2,0.38153900237826455,1.224838179497283,0.44034667260794214,5,4,6.18647085286725,2.2559725604868786,1.2822314406207493,942
acotado,0.5,0.5586525140472043,1.4828279530336252,1.7883633446989786,4,3,5.889201504711506,2.4261708044914223,1.0823737552455266,942
gaussiano,0.01,0.027449716378320943,0.08397340163019029,0.02793166793686286,5,4,13.075874815136071,7.112841330947097,1.1248663662144336,481
gaussiano,0.05,0.23754862737490967,0.5454666335425089,0.25098361073324327,5,4,12.280401539624918,6.80563395504735,1.1039278245207442,481
gaussiano,0.1,0.452207021465997,1.3734714204211147,0.6052646763396772,5,4,13.957094381764033,7.555100970598524,1.1137992953778664,481
gaussiano,0.2,0.46785691255045414,1.3106868947871773,1.0451220730117097,5,4,14.338180585813106,7.981024846888733,1.1394706352330313,481
gaussiano,0.5,2.2248023527587515,6.973171961374778,2.6000555284824145,5,4,22.761057930215607,9.766567124024238,1.3082822051279668,481
acotado,0.01,0.024262007152607623,0.06755069721178852,0.02778451680052285,5,4,13.111750599533734,7.124354760622945,1.1285082191219549,481
acotado,0.05,0.1110204555982397,0.32236880344149615,0.12242793085903125,5,4,13.03479984635567,6.998862216359161,1.1271948218668018,481
acotado,0.1,0.18933025069391896,0.5221092786837183,0.3269291589043135,5,4,12.751275844597497,7.143547139489403,1.1057385158163755,481
acotado,0.2,0.6759583835878553,1.0752011751671282,0.6765417562378382,5,4,14.082267603655419,7.193797779467346,1.1780179819963457,481
acotado,0.5,1.5440879593999322,2.93632984575839,1.5571017886259293,4,3,8.780789974734436,6.785464745212806,0.692424022790131,481
gaussiano,0.01,0.035113985902086364,0.09160410242312639,0.05107846475725408,5,4,8.731432283485162,2.609964344043682,1.3659290554162427,135
gaussiano,0.05,0.1178896707081325,0.27366765657955106,0.2254960880814083,5,4,8.9687851715422,2.651688780351119,1.3707570016732624,135
gaussiano,0.1,0.4711753251467512,0.8962518157850164,0.4808932329326679,5,4,9.577698926340139,3.195767848355497,1.3433028117557355,135
gaussiano,0.2,0.8344458456644694,2.2919380726588034,1.1656388520210914,5,4,10.723771031085878,3.28185277695866,1.3487070060943778,135
gaussiano,0.5,1.2546982315554707,3.37260158892951,1.7360317479642116,5,4,7.455775502162708,2.371384117937388,1.3674259832551894,135
acotado,0.01,0.016958018340942793,0.04859456399361295,0.023072414746032166,5,4,8.763681744619062,2.6201482895640122,1.3668304893492138,135
acotado,0.05,0.09741363280021909,0.29472165295510966,0.14127347313291483,5,4,8.825828112940968,2.755791784121393,1.3617078024866152,135
acotado,0.1,0.2580407296866656,0.5846255647932631,0.2622540023309399,5,4,9.402368661818485,2.801624270713786,1.3710865177035987,135
acotado,0.2,0.45651515424524736,1.1806672591441174,0.513881351828998,5,4,10.319121120572191,3.335805784126439,1.3642886324597279,135
acotado,0.5,0.7442064775631747,1.7321875644779472,1.3786753560828027,5,4,11.343913170996327,4.0992173035964585,1.3517450453071702,135
gaussiano,0.01,0.050612132782366426,0.08066918147566804,0.05412536645798488,4,3,10.039232305400436,5.499943223858885,1.0019341202334582,65
gaussiano,0.05,0.23306485935321897,0.5093027547826019,0.233441126298779,4,3,9.91037801111375,5.170001504937488,1.023742554921971,65
